DAP,RTP
23.16,17.33
25.33,21.29
25.33,24.08
25.33,23.9
25.33,22.92
25.33,23.58
25.33,22.35
25.33,21.92
25.33,21.53
25.33,21.96
25.33,22.85
25.33,23.56
25.33,19.22
31.13,20.64
31.13,24.85
31.13,21.47
31.13,26.83
31.13,22.6
31.13,22.16
31.13,21.84
31.13,25.71
31.13,28.36
31.13,28.36
31.13,27.86
31.13,27.84
34.32,27.66
34.32,7.19
34.32,-50.02
34.32,-45.38
34.32,-44.34
34.32,-43.03
34.32,-24.79
34.32,-25.01
34.32,-24.77
34.32,29.85
34.32,29.93
34.32,21.85
35.41,3.76
35.41,-25.15
35.41,-22.06
35.41,-22.17
35.41,29.62
35.41,29.62
35.41,29.77
35.41,29.86
35.41,29.67
35.41,29.59
35.41,29.67
35.41,29.86
34.66,29.96
34.66,30.46
34.66,29.95
34.66,30.95
34.66,30.46
34.66,23.12
34.66,2.54
34.66,2.64
34.66,23.09
34.66,23.35
34.66,8.66
34.66,6.81
33.94,6.81
33.94,6.79
33.94,6.68
33.94,21.49
33.94,20.61
33.94,20.59
33.94,19.85
33.94,20.08
33.94,20.58
33.94,27.14
33.94,26.51
33.94,26.41
32.86,27.16
32.86,27.14
32.86,19.93
32.86,19.84
32.86,19.63
32.86,19.69
32.86,26.14
32.86,26.3
32.86,26.36
32.86,26.34
32.86,27.14
32.86,27.16
30.83,26.58
30.83,26.48
30.83,20.68
30.83,27.17
30.83,26.64
30.83,20.05
30.83,20
30.83,19.65
30.83,17.66
30.83,25.11
30.83,25.09
30.83,25.14
30.04,25.61
30.04,26.53
30.04,26.14
30.04,24.35
30.04,26.36
30.04,25.14
30.04,24.03
30.04,24.07
30.04,23.64
30.04,23.57
30.04,23.75
30.04,23.62
29.6,24.08
29.6,24.13
29.6,24.13
29.6,24.13
29.6,24.16
29.6,24.11
29.6,24.11
29.6,24.06
29.6,25.08
29.6,24.08
29.6,24.13
29.6,24.13
30.33,17.59
30.33,-9.49
30.33,-38.34
30.33,-43.84
30.33,-38.31
30.33,1.83
30.33,18.56
30.33,17.52
30.33,24.12
30.33,23.92
30.33,23.45
30.33,24.02
37.91,28.18
37.91,22.02
37.91,-5.68
37.91,-39.05
37.91,-51.34
37.91,-33.78
37.91,-3.42
37.91,8.32
37.91,7.77
37.91,24.25
37.91,24.98
37.91,29.69
48.61,29.69
48.61,29.83
48.61,29.78
48.61,29.55
48.61,29.54
48.61,25.4
48.61,26.94
48.61,26.91
48.61,27
48.61,29.47
48.61,29.42
48.61,-94.96
45.77,-66.88
45.77,25.73
45.77,92.08
45.77,51.55
45.77,52.08
45.77,25.05
45.77,25.04
45.77,24.47
45.77,25.04
45.77,24.64
45.77,24.51
45.77,29.71
41.84,29.72
41.84,26.35
41.84,25.07
41.84,25.2
41.84,24.34
41.84,25.18
41.84,25.07
41.84,24.58
41.84,24.72
41.84,24.74
41.84,24.44
41.84,29.83
36.9,25.09
36.9,24.19
36.9,24.17
36.9,26.72
36.9,24.92
36.9,23.56
36.9,23.38
36.9,23.3
36.9,23.3
36.9,23.23
36.9,23.14
36.9,23.57
33.53,26.13
33.53,29.97
33.53,24.11
33.53,23.19
33.53,23.2
33.53,21.66
33.53,21.15
33.53,21.04
33.53,21.07
33.53,21.13
33.53,21.13
33.53,21.29
29.7,23.18
29.7,23.1
29.7,25.16
29.7,23.43
29.7,23.39
29.7,23.34
29.7,23.18
29.7,21.37
29.7,21.8
29.7,21.22
29.7,21.07
29.7,22.7
26.8,21.95
26.8,21.83
26.8,22.67
26.8,21.31
26.8,21.75
26.8,21.75
26.8,21.23
26.8,21.75
26.8,21.77
26.8,21.2
26.8,21.73
26.8,21.17
23.8,21.33
23.8,21.08
23.8,21.36
23.8,21.29
23.8,21.31
23.8,21.33
23.8,21.3
23.8,21.21
23.8,18
23.8,17.96
23.8,17.89
23.8,21.19
22.31,23.36
22.31,21.19
